,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_borda,std_borda
41,42,0.8561776061776062,0.0,0.8291505791505791,0.0,0.85838389409818,1.1102230246251565e-16
42,43,0.8448561946902655,0.0,0.8277101769911506,1.1102230246251565e-16,0.8584070796460177,0.0
43,44,0.8548252911813645,1.1102230246251565e-16,0.8270937326677761,1.1102230246251565e-16,0.8575984470327234,1.1102230246251565e-16
44,45,0.8546996662958843,0.0,0.8264738598442716,1.1102230246251565e-16,0.8566462736373749,0.0
45,46,0.8523424428332402,1.1102230246251565e-16,0.8273842721695482,0.0,0.8573619631901842,1.1102230246251565e-16
46,47,0.8554250559284118,1.1102230246251565e-16,0.8277404921700222,1.1102230246251565e-16,0.8575223713646534,1.1102230246251565e-16
47,48,0.8489904655075715,0.0,0.8262759394279303,1.1102230246251565e-16,0.8558609085810431,0.0
48,49,0.8544713160854893,0.0,0.8285995500562431,1.1102230246251565e-16,0.8577052868391452,0.0
49,50,0.859278059785674,0.0,0.819091934574168,1.1102230246251565e-16,0.8574450084602369,0.0
50,51,0.8601527149321267,0.0,0.8191459276018099,0.0,0.8581730769230769,0.0
51,52,0.8533749290981282,0.0,0.8186330119115144,1.1102230246251565e-16,0.8579126488939309,1.1102230246251565e-16
52,53,0.8509670079635951,1.1102230246251565e-16,0.8188282138794085,1.1102230246251565e-16,0.8589306029579067,0.0
53,54,0.8511123787792357,1.1102230246251565e-16,0.8185966913861951,0.0,0.8589560752994865,1.1102230246251565e-16
54,55,0.8479691075514875,0.0,0.8176487414187644,1.1102230246251565e-16,0.8585526315789472,1.1102230246251565e-16
55,56,0.85140562248996,1.1102230246251565e-16,0.8181296615031555,0.0,0.8590074584050488,0.0
56,57,0.8512658227848101,0.0,0.8178941311852703,1.1102230246251565e-16,0.8590333716915997,1.1102230246251565e-16
57,58,0.8508366993652625,0.0,0.8175129832660127,0.0,0.858338141950375,0.0
58,59,0.8480902777777779,1.1102230246251565e-16,0.8165509259259259,0.0,0.8586516203703705,1.1102230246251565e-16
59,60,0.8499709808473593,1.1102230246251565e-16,0.8158734764944864,0.0,0.8579512478235636,0.0
60,61,0.8505529685681024,1.1102230246251565e-16,0.8202852153667056,1.1102230246251565e-16,0.8598661233993015,0.0
61,62,0.8504086398131931,1.1102230246251565e-16,0.8187390542907181,1.1102230246251565e-16,0.8591652072387624,0.0
62,63,0.8509953161592506,0.0,0.8177693208430913,0.0,0.8586065573770492,0.0
63,64,0.861714621256606,0.0,0.8195830886670581,0.0,0.8592190252495596,0.0
64,65,0.8512956419316844,0.0,0.8200824499411073,1.1102230246251565e-16,0.8565959952885749,1.1102230246251565e-16
65,66,0.8524808033077378,0.0,0.8210277613703486,1.1102230246251565e-16,0.8580921441228588,0.0
66,67,0.8566350710900474,0.0,0.8215343601895736,1.1102230246251565e-16,0.8591528436018956,1.1102230246251565e-16
67,68,0.8562091503267973,0.0,0.8201128936423053,1.1102230246251565e-16,0.8590314913844326,0.0
68,69,0.8533969010727056,0.0,0.820321811680572,0.0,0.8590584028605482,0.0
