,n_rows,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_freedman,std_freedman
20,250,0.868,0.05741080037762926,0.876,0.023323807579381222,0.9,0.012649110640673528
21,260,0.8653846153846153,0.04385290096535148,0.8615384615384615,0.03728984505704868,0.8961538461538462,0.03566776344421425
22,270,0.8851851851851851,0.0359087396845654,0.8555555555555555,0.04743054990690999,0.8962962962962961,0.018885257457751076
23,280,0.8714285714285713,0.041342274652822246,0.8714285714285713,0.05463235193135127,0.8964285714285716,0.03462628469583093
24,290,0.8862068965517242,0.02338734476939748,0.8344827586206897,0.04949206929105973,0.8931034482758621,0.025339549063274264
25,300,0.8733333333333333,0.03265986323710903,0.8466666666666667,0.03858612300930074,0.8866666666666667,0.03711842908553347
26,310,0.8709677419354838,0.03383254348935974,0.8225806451612903,0.05679618342470647,0.8870967741935484,0.026989033114002414
27,320,0.884375,0.03775951866748304,0.84375,0.05676844413932797,0.8875,0.0318688719599549
28,330,0.8878787878787879,0.03904272341431855,0.8363636363636363,0.050160440476505606,0.8878787878787879,0.022676711434993564
29,340,0.8852941176470589,0.028515763867154886,0.85,0.04594264515239208,0.8852941176470587,0.04868513340366723
30,350,0.8857142857142858,0.02857142857142858,0.8571428571428571,0.04426266681379904,0.8857142857142858,0.023904572186687865
31,360,0.888888888888889,0.040253824294970646,0.8388888888888889,0.05597067133224967,0.8833333333333334,0.03986861137335368
32,370,0.8675675675675676,0.061274508371646656,0.8162162162162161,0.050273176318211564,0.8810810810810811,0.024770679432193732
33,380,0.8657894736842107,0.0384966811534942,0.8342105263157895,0.03956130625887608,0.881578947368421,0.03903262361629297
34,390,0.8692307692307691,0.05279810328711282,0.8307692307692308,0.044706655831186416,0.876923076923077,0.028781979898261093
35,400,0.8525,0.033911649915626334,0.8300000000000001,0.03588175023601829,0.8775000000000001,0.031024184114977142
36,410,0.8658536585365854,0.032722946012192035,0.8317073170731708,0.04902378351766287,0.878048780487805,0.04007726030525605
37,420,0.8595238095238095,0.024281045302822782,0.8285714285714286,0.04677829215330597,0.8738095238095239,0.031586902765289526
38,430,0.8511627906976743,0.05063149083041217,0.8488372093023256,0.04533392718515797,0.8767441860465116,0.031716701620897327
39,440,0.8659090909090909,0.048956043701222765,0.8431818181818181,0.05300865358950272,0.8795454545454545,0.062075001289762115
40,450,0.8733333333333334,0.036243347622889104,0.828888888888889,0.038873012632302015,0.8800000000000001,0.03173968190463492
41,460,0.8826086956521738,0.04315094182886787,0.8304347826086957,0.05610212130679972,0.8804347826086957,0.030743773095067265
42,470,0.8659574468085106,0.05061862661008645,0.8425531914893618,0.04114697788471006,0.8808510638297872,0.04432482267233969
43,480,0.8541666666666666,0.01863389981249823,0.85,0.040397332145136085,0.8791666666666668,0.025173012444988707
44,490,0.8673469387755102,0.01936088363368393,0.8408163265306123,0.045907028078375496,0.8795918367346939,0.032525260103080066
45,500,0.866,0.02059126028197402,0.8460000000000001,0.04029888335921976,0.882,0.027129319932501096
46,510,0.8627450980392156,0.02973676644726101,0.8431372549019608,0.045140644836162105,0.8843137254901962,0.028683801643779983
47,520,0.878846153846154,0.028910185343024832,0.8403846153846153,0.041956585056291185,0.8865384615384615,0.03817198700246001
48,530,0.8754716981132076,0.012515565246624148,0.8471698113207549,0.026279977881479465,0.8886792452830189,0.02014543066421002
49,540,0.874074074074074,0.019945054841238898,0.8444444444444444,0.014814814814814812,0.8851851851851851,0.013857990321384944
